Placa Vehiculo,Kilometraje,Marca,Modelo ,Observaciones Varada (causa y solucion),Analisis Causa Raiz
VKR182,120556,Hyundai,3,Reparación de junta de culata y test de compresión,"Ruido en suspensión delantera, amortiguadores dañados"
AOE405,53110,Isuzu,Frontier,Reparación de junta de culata y test de compresión,"Humo blanco al arrancar, problemas en junta de culata"
GPL164,153849,Ford,3,Recarga sistema AC y reemplazo de compresor,"Humo blanco al arrancar, problemas en junta de culata"
OKB698,90287,Ford,Accent,Recarga sistema AC y reemplazo de compresor,"Fuga de aceite en motor, posible empaque de cárter"
SPK164,141831,Toyota,D-Max,Cambio de empaque de cárter y ajuste de tornillos,"Frenos chirriando, pastillas gastadas"
BPJ258,30163,Chevrolet,Frontier,Reparación de junta de culata y test de compresión,"Aire acondicionado no enfría, fuga de gas"
SCA620,156183,Ford,Hilux,Reparación de junta de culata y test de compresión,Luces delanteras intermitentes por relay defectuoso
BXI234,177044,Mazda,300,Reparación de transmisión y cambio de kit de embrague,Sistema eléctrico con cortocircuito intermitente
HOL020,237054,Nissan,NPR,Cambio de relay y revisión de arnés eléctrico,"Ruido en suspensión delantera, amortiguadores dañados"
JPW983,87172,Toyota,D-Max,Cambio de empaque de cárter y ajuste de tornillos,"Fuga de aceite en motor, posible empaque de cárter"
XPT595,217831,Mazda,3,Reemplazo de pastillas y discos de freno,Luces delanteras intermitentes por relay defectuoso
PED560,103773,Hyundai,Frontier,Reparación de transmisión y cambio de kit de embrague,Transmisión patina al cambiar marchas
KVL055,23976,Ford,D-Max,"Alineación y balanceo, revisión de soportes","Frenos chirriando, pastillas gastadas"
WHC476,90942,Mazda,D-Max,Reemplazo de pastillas y discos de freno,Luces delanteras intermitentes por relay defectuoso
ITO867,114522,Hino,Frontier,Reemplazo de batería y revisión de alternador,Transmisión patina al cambiar marchas
MHO811,17832,Isuzu,3,Detección y reparación de cortocircuito en arnés,"Vibración al acelerar, posible desbalanceo de volante"
LRS201,176334,Isuzu,D-Max,Cambio de empaque de cárter y ajuste de tornillos,Luces delanteras intermitentes por relay defectuoso
GLG831,93327,Mazda,Frontier,Reparación de transmisión y cambio de kit de embrague,Transmisión patina al cambiar marchas
JEA862,61209,Mazda,NPR,Detección y reparación de cortocircuito en arnés,Sistema eléctrico con cortocircuito intermitente
DJN676,148346,Nissan,Hilux,Reemplazo de pastillas y discos de freno,"Ruido en suspensión delantera, amortiguadores dañados"
BOU589,66137,Hino,Transit,Recarga sistema AC y reemplazo de compresor,"Ruido en suspensión delantera, amortiguadores dañados"
QFY309,224532,Ford,D-Max,Reparación de junta de culata y test de compresión,Luces delanteras intermitentes por relay defectuoso
WRK036,27713,Hino,D-Max,Cambio de amortiguadores delanteros y bujes,"Aire acondicionado no enfría, fuga de gas"
DRN609,11006,Hino,Hilux,Cambio de relay y revisión de arnés eléctrico,Sistema eléctrico con cortocircuito intermitente
DKE739,14655,Toyota,Transit,Recarga sistema AC y reemplazo de compresor,"Humo blanco al arrancar, problemas en junta de culata"
MHQ592,22366,Hyundai,300,"Alineación y balanceo, revisión de soportes","Ruido en suspensión delantera, amortiguadores dañados"
CAQ609,137832,Mazda,300,Reemplazo de batería y revisión de alternador,"Aire acondicionado no enfría, fuga de gas"
GPA526,52975,Nissan,300,Reemplazo de batería y revisión de alternador,"Motor no enciende, batería descargada"
AZB213,75712,Isuzu,NPR,Reparación de junta de culata y test de compresión,"Vibración al acelerar, posible desbalanceo de volante"
FXZ938,235432,Hino,Frontier,Recarga sistema AC y reemplazo de compresor,"Aire acondicionado no enfría, fuga de gas"
NET139,106108,Isuzu,Transit,Detección y reparación de cortocircuito en arnés,"Frenos chirriando, pastillas gastadas"
JGN484,128220,Isuzu,3,Reparación de transmisión y cambio de kit de embrague,"Motor no enciende, batería descargada"
PZK333,105174,Mazda,3,Reparación de junta de culata y test de compresión,"Frenos chirriando, pastillas gastadas"
DAY119,55592,Hyundai,Accent,Reemplazo de pastillas y discos de freno,Sistema eléctrico con cortocircuito intermitente
BKC309,26377,Isuzu,3,Recarga sistema AC y reemplazo de compresor,"Humo blanco al arrancar, problemas en junta de culata"
DLM675,180920,Ford,Frontier,Cambio de empaque de cárter y ajuste de tornillos,"Frenos chirriando, pastillas gastadas"
PUR679,21832,Mazda,Hilux,Cambio de amortiguadores delanteros y bujes,"Vibración al acelerar, posible desbalanceo de volante"
OZS542,149822,Mazda,Transit,Reparación de junta de culata y test de compresión,"Humo blanco al arrancar, problemas en junta de culata"
HGH343,12047,Hino,NPR,Reparación de transmisión y cambio de kit de embrague,"Aire acondicionado no enfría, fuga de gas"
XHY470,159014,Nissan,Frontier,Cambio de empaque de cárter y ajuste de tornillos,Luces delanteras intermitentes por relay defectuoso
LZT537,85389,Isuzu,Hilux,Reparación de transmisión y cambio de kit de embrague,Transmisión patina al cambiar marchas
IYB760,118300,Nissan,D-Max,Reemplazo de batería y revisión de alternador,"Frenos chirriando, pastillas gastadas"
HSU910,32125,Isuzu,Transit,Cambio de amortiguadores delanteros y bujes,"Aire acondicionado no enfría, fuga de gas"
UTF901,167309,Hino,3,"Alineación y balanceo, revisión de soportes",Luces delanteras intermitentes por relay defectuoso
VVB271,164227,Chevrolet,NPR,"Alineación y balanceo, revisión de soportes","Humo blanco al arrancar, problemas en junta de culata"
YBV452,201042,Chevrolet,Hilux,Cambio de relay y revisión de arnés eléctrico,Luces delanteras intermitentes por relay defectuoso
RUU792,55335,Hyundai,300,Cambio de amortiguadores delanteros y bujes,"Humo blanco al arrancar, problemas en junta de culata"
PQL222,28578,Toyota,Transit,Reparación de transmisión y cambio de kit de embrague,"Ruido en suspensión delantera, amortiguadores dañados"
UWD830,99540,Isuzu,Transit,Reparación de junta de culata y test de compresión,"Fuga de aceite en motor, posible empaque de cárter"
IYL140,90993,Ford,Accent,Reparación de junta de culata y test de compresión,"Aire acondicionado no enfría, fuga de gas"
FBQ079,249329,Hino,Transit,Detección y reparación de cortocircuito en arnés,"Humo blanco al arrancar, problemas en junta de culata"
CFR386,166605,Nissan,3,"Alineación y balanceo, revisión de soportes","Frenos chirriando, pastillas gastadas"
XLL516,213903,Hino,Transit,"Alineación y balanceo, revisión de soportes","Ruido en suspensión delantera, amortiguadores dañados"
GYP401,119176,Chevrolet,Accent,Recarga sistema AC y reemplazo de compresor,"Frenos chirriando, pastillas gastadas"
LTC920,84102,Hyundai,Accent,Recarga sistema AC y reemplazo de compresor,"Fuga de aceite en motor, posible empaque de cárter"
AWR509,69544,Nissan,Frontier,Reemplazo de batería y revisión de alternador,"Vibración al acelerar, posible desbalanceo de volante"
UYV732,219264,Chevrolet,3,Reemplazo de batería y revisión de alternador,"Fuga de aceite en motor, posible empaque de cárter"
TIP710,232739,Ford,D-Max,Cambio de empaque de cárter y ajuste de tornillos,"Ruido en suspensión delantera, amortiguadores dañados"
DWG235,72810,Hyundai,Hilux,Recarga sistema AC y reemplazo de compresor,"Ruido en suspensión delantera, amortiguadores dañados"
GTZ292,207819,Ford,300,Reparación de transmisión y cambio de kit de embrague,Sistema eléctrico con cortocircuito intermitente
GGY229,37629,Isuzu,D-Max,Reparación de junta de culata y test de compresión,"Vibración al acelerar, posible desbalanceo de volante"
DUE233,138314,Toyota,D-Max,"Alineación y balanceo, revisión de soportes",Transmisión patina al cambiar marchas
EFG125,207145,Mazda,Transit,Cambio de relay y revisión de arnés eléctrico,Sistema eléctrico con cortocircuito intermitente
UPW409,119261,Ford,NPR,Recarga sistema AC y reemplazo de compresor,"Aire acondicionado no enfría, fuga de gas"
IZQ599,111901,Nissan,300,Cambio de empaque de cárter y ajuste de tornillos,"Fuga de aceite en motor, posible empaque de cárter"
FOJ814,153821,Hyundai,300,Reemplazo de batería y revisión de alternador,"Motor no enciende, batería descargada"
LPB364,248721,Ford,Frontier,Detección y reparación de cortocircuito en arnés,Sistema eléctrico con cortocircuito intermitente
IBN405,173449,Hyundai,Hilux,"Alineación y balanceo, revisión de soportes","Motor no enciende, batería descargada"
PBC124,36123,Hino,300,Reemplazo de pastillas y discos de freno,"Humo blanco al arrancar, problemas en junta de culata"
JSR848,229598,Hyundai,Transit,Cambio de relay y revisión de arnés eléctrico,"Fuga de aceite en motor, posible empaque de cárter"
OSM071,134121,Ford,Hilux,Reemplazo de pastillas y discos de freno,"Motor no enciende, batería descargada"
EBG369,177694,Hyundai,D-Max,Cambio de relay y revisión de arnés eléctrico,"Aire acondicionado no enfría, fuga de gas"
PIG514,245908,Hyundai,300,Detección y reparación de cortocircuito en arnés,"Vibración al acelerar, posible desbalanceo de volante"
YPZ825,155253,Chevrolet,Transit,Cambio de amortiguadores delanteros y bujes,"Frenos chirriando, pastillas gastadas"
ASP795,200928,Chevrolet,Accent,Reparación de transmisión y cambio de kit de embrague,"Ruido en suspensión delantera, amortiguadores dañados"
TQR966,162857,Toyota,D-Max,Reparación de junta de culata y test de compresión,"Ruido en suspensión delantera, amortiguadores dañados"
FIZ561,96360,Hyundai,NPR,Cambio de amortiguadores delanteros y bujes,"Vibración al acelerar, posible desbalanceo de volante"
JFZ453,156390,Nissan,NPR,Recarga sistema AC y reemplazo de compresor,"Frenos chirriando, pastillas gastadas"
OCB680,100872,Toyota,3,Recarga sistema AC y reemplazo de compresor,Transmisión patina al cambiar marchas
HGP828,35969,Isuzu,Transit,Reparación de transmisión y cambio de kit de embrague,"Ruido en suspensión delantera, amortiguadores dañados"
ORQ486,92247,Nissan,Frontier,Cambio de amortiguadores delanteros y bujes,"Humo blanco al arrancar, problemas en junta de culata"
PGX396,24746,Isuzu,D-Max,Detección y reparación de cortocircuito en arnés,"Vibración al acelerar, posible desbalanceo de volante"
MBL097,191312,Toyota,NPR,Cambio de amortiguadores delanteros y bujes,Sistema eléctrico con cortocircuito intermitente
PBR529,186542,Hyundai,Frontier,Reparación de transmisión y cambio de kit de embrague,"Ruido en suspensión delantera, amortiguadores dañados"
DZG083,51557,Ford,3,Reemplazo de batería y revisión de alternador,"Ruido en suspensión delantera, amortiguadores dañados"
CFI183,207907,Ford,NPR,Cambio de empaque de cárter y ajuste de tornillos,"Motor no enciende, batería descargada"
JUO173,241501,Isuzu,Transit,Recarga sistema AC y reemplazo de compresor,"Humo blanco al arrancar, problemas en junta de culata"
KRD641,111870,Chevrolet,Hilux,Reparación de transmisión y cambio de kit de embrague,Transmisión patina al cambiar marchas
JOS731,134279,Mazda,Frontier,Detección y reparación de cortocircuito en arnés,"Fuga de aceite en motor, posible empaque de cárter"
